vt;im;temp;crc
0;0;0.0;0
90;10516;0.8;10618
90;10507;0.8;10609
90;10498;0.8;10600
89;10497;0.8;10598
89;10493;0.8;10594
89;10485;0.8;10586
89;10471;0.8;10572
89;10458;0.8;10559
88;10456;0.8;10556
88;10450;0.8;10550
88;10443;0.8;10543
88;10447;0.8;10547
87;10444;0.8;10543
87;10453;0.8;10552
87;10442;0.8;10541
87;10443;0.8;10542
86;10440;0.8;10538
86;10447;0.8;10545
86;10450;0.8;10548
86;10443;0.8;10541
85;10459;0.8;10556
85;10463;0.8;10560
85;10443;0.8;10540
85;10458;0.8;10555
85;10452;0.8;10549
84;10460;0.8;10556
84;10457;0.8;10553
84;10476;0.8;10572
84;10485;0.8;10581
84;10479;0.8;10575
84;10482;0.8;10578
84;10463;0.8;10559
96;10382;0.9;10492
96;10382;0.9;10492
96;10382;0.9;10492
96;10382;0.9;10492
96;10376;0.9;10486
96;10376;0.9;10486
96;10376;0.9;10486
96;10376;0.9;10486
96;10377;0.9;10487
96;10377;0.9;10487
96;10377;0.9;10487
96;10377;0.9;10487
96;10374;0.9;10484
96;10374;0.9;10484
96;10374;0.9;10484
96;10374;0.9;10484
96;10369;0.9;10479
96;10369;0.9;10479
96;10369;0.9;10479
96;10369;0.9;10479
96;10371;0.9;10481
96;10371;0.9;10481
96;10371;0.9;10481
96;10371;0.9;10481
96;10363;0.9;10473
96;10363;0.9;10473
96;10363;0.9;10473
96;10363;0.9;10473
95;10364;0.9;10473
95;10364;0.9;10473
95;10364;0.9;10473
95;10364;0.9;10473
95;10375;0.9;10484
95;10375;0.9;10484
95;10375;0.9;10484
95;10375;0.9;10484
94;10387;0.9;10495
94;10387;0.9;10495
94;10387;0.9;10495
94;10387;0.9;10495
94;10381;0.9;10489
94;10381;0.9;10489
94;10381;0.9;10489
94;10381;0.9;10489
94;10385;0.9;10493
94;10385;0.9;10493
94;10385;0.9;10493
94;10385;0.9;10493
94;10393;0.9;10501
94;10393;0.9;10501
94;10393;0.9;10501
94;10393;0.9;10501
93;10387;0.9;10494
93;10387;0.9;10494
93;10387;0.9;10494
93;10387;0.9;10494
93;10383;0.9;10490
93;10383;0.9;10490
93;10383;0.9;10490
93;10383;0.9;10490
93;10362;0.9;10469
93;10362;0.9;10469
93;10362;0.9;10469
93;10362;0.9;10469
93;10364;0.9;10471
93;10364;0.9;10471
93;10364;0.9;10471
93;10364;0.9;10471
92;10362;0.9;10468
92;10362;0.9;10468
92;10362;0.9;10468
92;10362;0.9;10468
92;10356;0.9;10462
92;10356;0.9;10462
92;10356;0.9;10462
92;10356;0.9;10462
92;10365;0.9;10471
92;10365;0.9;10471
92;10365;0.9;10471
92;10365;0.9;10471
91;10368;0.9;10473
91;10368;0.9;10473
91;10368;0.9;10473
91;10368;0.9;10473
91;10379;0.9;10484
91;10379;0.9;10484
91;10379;0.9;10484
91;10379;0.9;10484
91;10391;0.9;10496
91;10391;0.9;10496
91;10391;0.9;10496
91;10391;0.9;10496
90;10384;0.9;10488
90;10384;0.9;10488
90;10384;0.9;10488
90;10384;0.9;10488
90;10383;0.9;10487
90;10383;0.9;10487
90;10383;0.9;10487
90;10383;0.9;10487
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10395;0.9;10499
90;10392;0.9;10496
90;10392;0.9;10496
90;10392;0.9;10496
90;10392;0.9;10496
90;10378;0.9;10482
90;10378;0.9;10482
90;10378;0.9;10482
90;10378;0.9;10482
89;10378;0.9;10481
89;10378;0.9;10481
89;10378;0.9;10481
89;10378;0.9;10481
89;10381;0.9;10484
89;10381;0.9;10484
89;10381;0.9;10484
89;10381;0.9;10484
89;10379;0.9;10482
89;10379;0.9;10482
89;10379;0.9;10482
89;10379;0.9;10482
89;10386;0.9;10489
89;10386;0.9;10489
89;10386;0.9;10489
89;10386;0.9;10489
88;10372;0.9;10474
88;10372;0.9;10474
88;10372;0.9;10474
88;10372;0.9;10474
89;10375;0.9;10478
89;10375;0.9;10478
89;10375;0.9;10478
89;10375;0.9;10478
88;10350;0.9;10452
88;10350;0.9;10452
88;10350;0.9;10452
88;10350;0.9;10452
88;10363;0.9;10465
88;10363;0.9;10465
88;10363;0.9;10465
88;10363;0.9;10465
88;10364;0.9;10466
88;10364;0.9;10466
88;10364;0.9;10466
88;10364;0.9;10466
88;10362;0.9;10464
88;10362;0.9;10464
88;10362;0.9;10464
88;10362;0.9;10464
88;10353;0.9;10455
88;10353;0.9;10455
88;10353;0.9;10455
88;10353;0.9;10455
88;10322;0.9;10424
88;10322;0.9;10424
88;10322;0.9;10424
